date,expiry,strike,type,bid,ask,last_price,underlying,implied_volatility,days_to_expiry
2025-08-11,2025-10-10,19622.57,call,102.06,112.8,107.43,18000,0.228,60
2025-08-11,2025-08-25,16761.58,call,57.06,63.07,60.07,18000,0.1959,14
2025-08-11,2025-09-10,16274.1,put,160.49,177.39,168.94,18000,0.2222,30
2025-08-11,2025-08-25,16854.57,call,104.59,115.6,110.1,18000,0.2117,14
2025-08-11,2025-11-09,17755.0,call,68.38,75.57,71.97,18000,0.2025,90
2025-08-11,2025-10-10,19705.52,call,134.27,148.4,141.33,18000,0.1956,60
2025-08-11,2025-09-10,17576.86,put,7.94,8.78,8.36,18000,0.2092,30
2025-08-11,2025-09-10,18649.11,call,162.26,179.34,170.8,18000,0.1565,30
2025-08-11,2025-10-10,18227.84,put,16.7,18.46,17.58,18000,0.1805,60
2025-08-11,2025-10-10,17067.69,put,84.68,93.59,89.13,18000,0.1622,60
2025-08-11,2025-09-10,19473.55,put,129.17,142.76,135.97,18000,0.1682,30
2025-08-11,2025-08-25,18243.72,call,132.55,146.5,139.52,18000,0.247,14
2025-08-11,2025-08-25,17622.54,put,157.64,174.23,165.94,18000,0.2098,14
2025-08-11,2025-10-10,16362.82,put,127.79,141.24,134.52,18000,0.2345,60
2025-08-11,2025-11-09,18312.3,call,92.8,102.57,97.69,18000,0.1781,90
2025-08-11,2025-08-18,17266.58,call,168.76,186.52,177.64,18000,0.1575,7
2025-08-11,2025-08-18,16915.38,put,34.0,37.58,35.79,18000,0.1514,7
2025-08-11,2025-09-10,19044.63,call,61.3,67.75,64.52,18000,0.1574,30
2025-08-11,2025-08-18,19493.85,call,56.58,62.54,59.56,18000,0.2123,7
2025-08-11,2025-11-09,18826.58,put,95.97,106.08,101.02,18000,0.1775,90
2025-08-11,2025-09-10,16630.54,put,123.42,136.41,129.91,18000,0.2349,30
2025-08-11,2025-09-10,18081.84,call,75.13,83.03,79.08,18000,0.1611,30
2025-08-11,2025-09-10,16313.15,call,96.32,106.46,101.39,18000,0.1975,30
2025-08-11,2025-10-10,19467.24,call,92.31,102.03,97.17,18000,0.2104,60
2025-08-11,2025-11-09,17023.67,put,118.81,131.31,125.06,18000,0.2099,90
2025-08-11,2025-10-10,19546.91,call,18.04,19.94,18.99,18000,0.1796,60
2025-08-11,2025-10-10,19093.22,put,151.04,166.94,158.99,18000,0.1917,60
2025-08-11,2025-08-25,16639.52,call,18.82,20.8,19.81,18000,0.1818,14
2025-08-11,2025-08-18,18531.68,call,147.18,162.68,154.93,18000,0.2318,7
2025-08-11,2025-09-10,17702.68,call,46.07,50.92,48.49,18000,0.2192,30
2025-08-11,2025-09-10,17363.53,put,69.06,76.33,72.69,18000,0.2058,30
2025-08-11,2025-08-18,17114.1,put,85.03,93.98,89.5,18000,0.1752,7
2025-08-11,2025-08-18,16733.11,put,104.24,115.21,109.72,18000,0.1537,7
2025-08-11,2025-08-25,17679.73,call,155.31,171.66,163.49,18000,0.1779,14
2025-08-11,2025-09-10,18650.54,call,168.55,186.29,177.42,18000,0.1989,30
2025-08-11,2025-10-10,16491.07,put,124.52,137.63,131.08,18000,0.1738,60
2025-08-11,2025-11-09,18476.3,put,139.61,154.31,146.96,18000,0.1899,90
2025-08-11,2025-08-18,16742.58,call,6.97,7.71,7.34,18000,0.1687,7
2025-08-11,2025-10-10,17373.45,put,87.57,96.79,92.18,18000,0.1517,60
2025-08-11,2025-09-10,17455.2,call,118.15,130.59,124.37,18000,0.1674,30
2025-08-11,2025-08-25,19215.76,call,19.4,21.45,20.43,18000,0.1841,14
2025-08-11,2025-08-25,17128.59,put,167.95,185.63,176.79,18000,0.1675,14
2025-08-11,2025-10-10,18106.74,put,165.09,182.46,173.78,18000,0.2496,60
2025-08-11,2025-11-09,19441.51,call,47.69,52.71,50.2,18000,0.1689,90
2025-08-11,2025-09-10,18813.44,call,69.17,76.45,72.81,18000,0.2356,30
2025-08-11,2025-08-18,18511.31,call,134.29,148.43,141.36,18000,0.2436,7
2025-08-11,2025-10-10,18290.47,put,113.46,125.4,119.43,18000,0.1601,60
2025-08-11,2025-11-09,17222.12,put,118.31,130.77,124.54,18000,0.2049,90
2025-08-11,2025-11-09,17007.37,call,84.46,93.35,88.9,18000,0.1518,90
2025-08-11,2025-10-10,17519.29,put,112.45,124.29,118.37,18000,0.2349,60
2025-08-11,2025-08-18,18153.14,call,45.35,50.12,47.74,18000,0.1868,7
2025-08-11,2025-11-09,17952.27,put,135.91,150.22,143.07,18000,0.2131,90
2025-08-11,2025-08-18,18276.85,put,39.36,43.51,41.43,18000,0.2364,7
2025-08-11,2025-09-10,18259.22,put,30.29,33.47,31.88,18000,0.2145,30
2025-08-11,2025-10-10,17891.8,put,63.3,69.96,66.63,18000,0.2415,60
2025-08-11,2025-08-18,19631.06,call,165.3,182.7,174.0,18000,0.1928,7
2025-08-11,2025-09-10,19729.19,put,65.85,72.78,69.32,18000,0.1794,30
2025-08-11,2025-08-18,17340.92,put,67.49,74.6,71.04,18000,0.1873,7
2025-08-11,2025-08-25,19548.06,put,105.17,116.24,110.7,18000,0.1597,14
2025-08-11,2025-08-25,17114.99,put,126.67,140.01,133.34,18000,0.2377,14
2025-08-11,2025-08-18,16691.84,put,50.2,55.49,52.85,18000,0.1859,7
2025-08-11,2025-08-25,19116.41,call,13.95,15.42,14.69,18000,0.2112,14
2025-08-11,2025-08-18,18460.42,put,120.04,132.67,126.35,18000,0.215,7
2025-08-11,2025-10-10,19391.82,call,16.07,17.76,16.92,18000,0.1876,60
2025-08-11,2025-09-10,17876.15,call,143.46,158.56,151.01,18000,0.2482,30
2025-08-11,2025-08-25,16309.8,put,51.86,57.32,54.59,18000,0.1539,14
2025-08-11,2025-09-10,16657.42,call,46.43,51.32,48.88,18000,0.2328,30
2025-08-11,2025-10-10,18442.41,put,33.24,36.74,34.99,18000,0.2342,60
2025-08-11,2025-09-10,18494.75,put,165.79,183.24,174.52,18000,0.1633,30
2025-08-11,2025-08-25,17362.64,call,74.13,81.94,78.03,18000,0.1899,14
2025-08-11,2025-08-25,16482.44,call,13.83,15.28,14.56,18000,0.1684,14
2025-08-11,2025-08-18,18678.6,call,26.75,29.57,28.16,18000,0.1673,7
2025-08-11,2025-08-25,17063.23,put,112.89,124.78,118.84,18000,0.2215,14
2025-08-11,2025-11-09,18497.77,call,94.79,104.77,99.78,18000,0.2238,90
2025-08-11,2025-11-09,17710.56,put,27.13,29.98,28.56,18000,0.2066,90
2025-08-11,2025-08-18,17430.77,put,6.96,7.7,7.33,18000,0.1546,7
2025-08-11,2025-10-10,16831.19,put,84.07,92.92,88.49,18000,0.1598,60
2025-08-11,2025-10-10,16823.53,put,8.22,9.08,8.65,18000,0.215,60
2025-08-11,2025-11-09,19392.05,put,107.02,118.29,112.65,18000,0.1875,90
2025-08-11,2025-08-25,18003.74,put,27.86,30.79,29.33,18000,0.2159,14
2025-08-11,2025-08-25,16295.44,put,136.96,151.38,144.17,18000,0.2136,14
2025-08-11,2025-10-10,17597.41,put,138.72,153.32,146.02,18000,0.1629,60
2025-08-11,2025-09-10,19589.27,call,111.4,123.13,117.27,18000,0.232,30
2025-08-11,2025-09-10,16904.85,call,64.51,71.3,67.91,18000,0.1715,30
2025-08-11,2025-11-09,16539.99,call,112.13,123.93,118.03,18000,0.1837,90
2025-08-11,2025-11-09,19241.55,put,44.58,49.27,46.93,18000,0.1841,90
2025-08-11,2025-10-10,18694.41,put,150.05,165.84,157.94,18000,0.2129,60
2025-08-11,2025-10-10,17704.61,call,30.34,33.54,31.94,18000,0.1782,60
2025-08-11,2025-08-18,18246.67,call,70.56,77.98,74.27,18000,0.2491,7
2025-08-11,2025-08-25,17100.06,put,159.16,175.91,167.54,18000,0.1841,14
2025-08-11,2025-11-09,17058.95,call,129.03,142.61,135.82,18000,0.2251,90
2025-08-11,2025-08-18,17559.82,call,141.32,156.2,148.76,18000,0.2005,7
2025-08-11,2025-11-09,19423.88,call,163.91,181.16,172.54,18000,0.1553,90
2025-08-11,2025-09-10,16528.63,call,115.73,127.91,121.82,18000,0.2457,30
2025-08-11,2025-10-10,18264.38,call,15.68,17.33,16.51,18000,0.1583,60
2025-08-11,2025-10-10,17383.19,call,161.8,178.83,170.32,18000,0.1713,60
2025-08-11,2025-08-18,16608.47,call,9.84,10.88,10.36,18000,0.1994,7
2025-08-11,2025-08-25,17789.51,call,120.7,133.4,127.05,18000,0.2046,14
2025-08-11,2025-10-10,18676.91,put,17.29,19.11,18.2,18000,0.2118,60
2025-08-11,2025-11-09,17001.28,call,120.77,133.48,127.12,18000,0.2322,90
2025-08-11,2025-11-09,18047.97,put,64.0,70.74,67.37,18000,0.2487,90
2025-08-11,2025-08-18,19369.3,call,168.61,186.35,177.48,18000,0.2447,7
2025-08-11,2025-10-10,17460.79,put,132.89,146.88,139.89,18000,0.1584,60
2025-08-11,2025-09-10,17095.41,call,84.24,93.11,88.67,18000,0.1611,30
2025-08-11,2025-11-09,17658.73,put,20.32,22.46,21.39,18000,0.1556,90
2025-08-11,2025-11-09,19162.05,call,99.76,110.26,105.01,18000,0.2246,90
2025-08-11,2025-08-18,17549.53,call,90.35,99.86,95.11,18000,0.1583,7
2025-08-11,2025-11-09,19667.6,put,95.08,105.08,100.08,18000,0.2478,90
2025-08-11,2025-11-09,16356.24,call,12.62,13.95,13.28,18000,0.2493,90
2025-08-11,2025-09-10,18703.48,call,107.63,118.96,113.29,18000,0.2023,30
2025-08-11,2025-08-18,18459.21,put,126.04,139.31,132.68,18000,0.1884,7
2025-08-11,2025-09-10,17211.47,put,67.46,74.56,71.01,18000,0.1558,30
2025-08-11,2025-10-10,17408.38,put,79.29,87.64,83.47,18000,0.1688,60
2025-08-11,2025-08-25,17025.82,put,166.62,184.16,175.39,18000,0.1578,14
2025-08-11,2025-09-10,18713.38,call,70.32,77.72,74.02,18000,0.178,30
2025-08-11,2025-11-09,18665.03,call,13.03,14.4,13.72,18000,0.1633,90
2025-08-11,2025-08-25,17699.9,call,71.52,79.05,75.28,18000,0.2113,14
2025-08-11,2025-08-25,18185.72,call,64.38,71.15,67.76,18000,0.1526,14
2025-08-11,2025-08-18,17929.33,call,101.6,112.29,106.94,18000,0.165,7
2025-08-11,2025-08-18,19691.69,call,10.86,12.0,11.43,18000,0.2069,7
2025-08-11,2025-08-18,17693.35,call,12.89,14.24,13.56,18000,0.1514,7
2025-08-11,2025-10-10,19126.44,call,156.15,172.59,164.37,18000,0.225,60
2025-08-11,2025-11-09,18814.04,put,42.3,46.75,44.52,18000,0.235,90
2025-08-11,2025-08-18,16664.97,call,35.44,39.17,37.3,18000,0.1775,7
2025-08-11,2025-08-18,18618.12,put,45.94,50.78,48.36,18000,0.1547,7
2025-08-11,2025-08-25,17993.39,put,88.95,98.31,93.63,18000,0.2272,14
2025-08-11,2025-10-10,19138.99,put,149.91,165.69,157.8,18000,0.2061,60
2025-08-11,2025-08-18,18323.84,call,129.13,142.72,135.92,18000,0.1529,7
2025-08-11,2025-11-09,18501.7,call,23.32,25.77,24.55,18000,0.1713,90
2025-08-11,2025-10-10,19729.67,put,67.07,74.13,70.6,18000,0.209,60
2025-08-11,2025-09-10,16527.61,put,87.89,97.14,92.52,18000,0.1848,30
2025-08-11,2025-10-10,17272.65,put,162.37,179.46,170.91,18000,0.2362,60
2025-08-11,2025-10-10,17853.65,call,44.16,48.81,46.48,18000,0.1992,60
2025-08-11,2025-11-09,19728.12,call,35.76,39.53,37.64,18000,0.1847,90
2025-08-11,2025-09-10,17064.52,call,78.68,86.96,82.82,18000,0.2037,30
2025-08-11,2025-09-10,16699.78,put,119.1,131.64,125.37,18000,0.168,30
2025-08-11,2025-08-18,19428.44,call,166.4,183.92,175.16,18000,0.2015,7
2025-08-11,2025-11-09,16892.24,call,59.01,65.22,62.11,18000,0.2322,90
2025-08-11,2025-08-25,16837.24,call,91.39,101.01,96.2,18000,0.2049,14
2025-08-11,2025-10-10,16942.8,put,56.45,62.39,59.42,18000,0.1629,60
2025-08-11,2025-09-10,16341.52,call,117.61,129.99,123.8,18000,0.1981,30
2025-08-11,2025-09-10,19515.14,call,148.48,164.11,156.29,18000,0.1503,30
2025-08-11,2025-08-18,18350.2,put,63.35,70.02,66.68,18000,0.1709,7
2025-08-11,2025-08-25,18935.84,put,127.82,141.27,134.54,18000,0.1963,14
2025-08-11,2025-09-10,17108.77,call,144.4,159.6,152.0,18000,0.2187,30
2025-08-11,2025-09-10,18115.61,call,60.56,66.93,63.75,18000,0.2367,30
2025-08-11,2025-09-10,17072.89,call,31.17,34.45,32.81,18000,0.2237,30
2025-08-11,2025-08-18,19226.56,put,20.48,22.64,21.56,18000,0.1827,7
2025-08-11,2025-08-18,17434.54,call,134.95,149.15,142.05,18000,0.2179,7
2025-08-11,2025-11-09,17926.5,put,100.35,110.91,105.63,18000,0.2037,90
2025-08-11,2025-08-18,18232.05,put,62.09,68.62,65.35,18000,0.1784,7
2025-08-11,2025-08-25,18387.2,call,168.69,186.45,177.57,18000,0.1856,14
2025-08-11,2025-11-09,19561.29,call,26.14,28.89,27.51,18000,0.1602,90
2025-08-11,2025-10-10,19262.94,put,29.65,32.77,31.21,18000,0.1785,60
2025-08-11,2025-08-18,16488.84,call,119.18,131.73,125.45,18000,0.1518,7
2025-08-11,2025-08-25,18273.59,call,139.72,154.43,147.07,18000,0.2366,14
2025-08-11,2025-08-18,17966.7,put,158.92,175.65,167.29,18000,0.2169,7
2025-08-11,2025-09-10,18257.81,call,35.07,38.76,36.91,18000,0.2339,30
2025-08-11,2025-08-25,17365.25,call,125.9,139.15,132.52,18000,0.17,14
2025-08-11,2025-10-10,16613.41,put,14.93,16.5,15.71,18000,0.2268,60
2025-08-11,2025-09-10,19555.25,call,8.86,9.79,9.33,18000,0.2033,30
2025-08-11,2025-08-25,17835.36,call,169.28,187.1,178.19,18000,0.1563,14
2025-08-11,2025-11-09,18664.46,put,116.54,128.8,122.67,18000,0.1755,90
2025-08-11,2025-08-18,16620.11,call,70.42,77.84,74.13,18000,0.1972,7
2025-08-11,2025-08-18,19262.62,put,21.25,23.49,22.37,18000,0.2465,7
2025-08-11,2025-09-10,19578.03,put,158.42,175.1,166.76,18000,0.1879,30
2025-08-11,2025-10-10,19230.58,put,128.34,141.84,135.09,18000,0.2328,60
2025-08-11,2025-10-10,16789.16,call,40.3,44.55,42.42,18000,0.1686,60
2025-08-11,2025-08-25,19468.32,call,67.11,74.17,70.64,18000,0.2377,14
2025-08-11,2025-09-10,18446.77,call,85.97,95.01,90.49,18000,0.2248,30
2025-08-11,2025-08-18,17479.3,call,92.95,102.73,97.84,18000,0.1884,7
2025-08-11,2025-09-10,18154.26,put,107.34,118.64,112.99,18000,0.244,30
2025-08-11,2025-08-25,16701.38,call,84.72,93.64,89.18,18000,0.2379,14
2025-08-11,2025-09-10,19038.95,put,120.89,133.62,127.26,18000,0.2252,30
2025-08-11,2025-09-10,18878.21,put,122.1,134.96,128.53,18000,0.1705,30
2025-08-11,2025-11-09,19356.36,call,91.74,101.39,96.57,18000,0.1603,90
2025-08-11,2025-10-10,17845.2,put,136.34,150.69,143.51,18000,0.1897,60
2025-08-11,2025-11-09,17950.89,put,123.13,136.09,129.61,18000,0.2222,90
2025-08-11,2025-09-10,18698.21,put,102.43,113.22,107.83,18000,0.2216,30
2025-08-11,2025-10-10,16853.75,put,38.88,42.97,40.92,18000,0.1843,60
2025-08-11,2025-08-25,19610.22,put,23.79,26.29,25.04,18000,0.2412,14
2025-08-11,2025-08-25,18401.24,call,101.4,112.07,106.73,18000,0.2226,14
2025-08-11,2025-10-10,18234.48,put,3.94,4.35,4.14,18000,0.229,60
2025-08-11,2025-08-25,18976.49,call,72.53,80.16,76.34,18000,0.2107,14
2025-08-11,2025-11-09,16575.29,call,77.09,85.21,81.15,18000,0.2426,90
2025-08-11,2025-11-09,19745.43,put,143.21,158.29,150.75,18000,0.1686,90
2025-08-11,2025-08-18,19331.63,call,103.95,114.89,109.42,18000,0.1727,7
2025-08-11,2025-08-18,18879.3,put,0.79,0.88,0.83,18000,0.2303,7
2025-08-11,2025-08-18,16611.36,put,157.3,173.85,165.57,18000,0.2037,7
2025-08-11,2025-08-25,17876.52,call,77.33,85.47,81.4,18000,0.2238,14
2025-08-11,2025-09-10,16318.25,call,30.16,33.34,31.75,18000,0.1641,30
2025-08-11,2025-10-10,17708.13,put,133.46,147.51,140.49,18000,0.1811,60
2025-08-11,2025-09-10,18476.15,put,88.09,97.37,92.73,18000,0.1713,30
2025-08-11,2025-08-18,19659.85,call,147.17,162.66,154.91,18000,0.2057,7
2025-08-11,2025-11-09,16864.07,call,11.47,12.68,12.07,18000,0.2095,90
2025-08-11,2025-09-10,16955.66,call,80.07,88.5,84.28,18000,0.1849,30
2025-08-11,2025-08-18,16331.58,put,100.45,111.03,105.74,18000,0.2337,7
2025-08-11,2025-08-18,18991.9,call,91.39,101.01,96.2,18000,0.2028,7
2025-08-11,2025-08-18,17642.75,put,17.61,19.46,18.54,18000,0.2265,7
2025-08-11,2025-11-09,16471.81,call,46.3,51.17,48.73,18000,0.1873,90
2025-08-11,2025-08-25,17671.44,call,143.6,158.72,151.16,18000,0.2479,14
2025-08-11,2025-11-09,17668.74,call,39.51,43.67,41.59,18000,0.1722,90
2025-08-11,2025-09-10,18019.83,put,136.79,151.18,143.98,18000,0.1604,30
2025-08-11,2025-09-10,19394.86,put,17.0,18.79,17.9,18000,0.1738,30
2025-08-11,2025-09-10,19665.54,put,35.05,38.74,36.9,18000,0.2168,30
2025-08-11,2025-08-25,16246.81,call,145.03,160.3,152.66,18000,0.2236,14
2025-08-11,2025-11-09,19355.2,call,152.65,168.71,160.68,18000,0.1921,90
2025-08-11,2025-11-09,17430.54,put,62.08,68.62,65.35,18000,0.2325,90
2025-08-11,2025-10-10,19190.36,call,94.4,104.34,99.37,18000,0.1909,60
2025-08-11,2025-08-25,19299.84,call,130.58,144.32,137.45,18000,0.2448,14
2025-08-11,2025-08-18,19326.48,put,80.55,89.03,84.79,18000,0.2485,7
2025-08-11,2025-08-18,17945.2,call,92.62,102.37,97.49,18000,0.1769,7
2025-08-11,2025-11-09,17649.18,call,142.77,157.8,150.29,18000,0.1639,90
2025-08-11,2025-10-10,16676.19,call,46.56,51.47,49.02,18000,0.1672,60
2025-08-11,2025-09-10,19161.3,put,98.58,108.96,103.77,18000,0.1618,30
2025-08-11,2025-08-25,18195.04,call,123.15,136.12,129.64,18000,0.1997,14
2025-08-11,2025-11-09,16239.58,call,45.57,50.37,47.97,18000,0.1764,90
2025-08-11,2025-09-10,18350.69,put,84.52,93.42,88.97,18000,0.2133,30
2025-08-11,2025-08-25,19491.88,put,131.83,145.7,138.76,18000,0.1904,14
2025-08-11,2025-08-25,16798.62,call,15.45,17.07,16.26,18000,0.1684,14
2025-08-11,2025-09-10,17083.26,call,74.76,82.63,78.69,18000,0.2337,30
2025-08-11,2025-10-10,18788.57,call,162.33,179.42,170.88,18000,0.211,60
2025-08-11,2025-11-09,17941.52,put,44.85,49.57,47.21,18000,0.1531,90
2025-08-11,2025-09-10,19229.51,call,102.06,112.8,107.43,18000,0.1996,30
2025-08-11,2025-08-25,18444.0,put,12.85,14.2,13.52,18000,0.1607,14
2025-08-11,2025-08-18,17686.06,call,74.36,82.18,78.27,18000,0.2188,7
2025-08-11,2025-09-10,19148.77,call,165.48,182.9,174.19,18000,0.1502,30
2025-08-11,2025-08-25,16571.14,call,156.86,173.37,165.12,18000,0.1592,14
2025-08-11,2025-11-09,19044.05,call,31.66,34.99,33.32,18000,0.1946,90
2025-08-11,2025-09-10,18836.01,call,123.82,136.86,130.34,18000,0.2259,30
2025-08-11,2025-08-18,19452.11,put,168.89,186.67,177.78,18000,0.1721,7
2025-08-11,2025-11-09,18611.7,put,158.22,174.87,166.54,18000,0.2206,90
2025-08-11,2025-08-25,18244.6,put,20.61,22.78,21.69,18000,0.1813,14
2025-08-11,2025-08-18,16893.36,put,161.47,178.47,169.97,18000,0.2471,7
2025-08-11,2025-08-25,18882.23,put,54.57,60.31,57.44,18000,0.2345,14
2025-08-11,2025-08-25,18520.37,put,39.33,43.47,41.4,18000,0.2096,14
2025-08-11,2025-10-10,17931.82,call,58.12,64.24,61.18,18000,0.2196,60
2025-08-11,2025-10-10,18260.74,put,135.21,149.45,142.33,18000,0.2039,60
2025-08-11,2025-08-18,18856.28,call,105.31,116.4,110.86,18000,0.2386,7
2025-08-11,2025-08-25,16287.84,put,0.04,0.04,0.04,18000,0.249,14
2025-08-11,2025-11-09,18104.17,put,11.98,13.24,12.61,18000,0.2433,90
2025-08-11,2025-10-10,16389.66,call,82.06,90.7,86.38,18000,0.1902,60
2025-08-11,2025-08-18,18290.73,put,131.37,145.2,138.29,18000,0.2484,7
2025-08-11,2025-08-18,17410.93,put,40.83,45.13,42.98,18000,0.2238,7
2025-08-11,2025-09-10,17882.32,put,50.67,56.0,53.34,18000,0.1787,30
2025-08-11,2025-11-09,16351.54,call,7.71,8.52,8.12,18000,0.241,90
2025-08-11,2025-08-18,17609.87,put,162.44,179.54,170.99,18000,0.1718,7
2025-08-11,2025-11-09,17132.34,put,150.33,166.15,158.24,18000,0.1918,90
